Date,High Price,Low Price,Close Price,Total Traded Quantity,Turnover (in lacs),No. of Contracts,
04-Jun-2021,1520.65,1499.2,1500.95,4712238,71048.080871,43235,
07-Jun-2021,1514,1496,1499.85,4045834,60734.882115,34257,
08-Jun-2021,1501.3,1481.5,1483.05,4936270,73401.187638,46777,
09-Jun-2021,1502,1472.05,1480.3,5111721,76064.160869,72791,
10-Jun-2021,1489,1473.65,1481.05,5741770,84975.705545,57382,
11-Jun-2021,1496.55,1481.05,1486.35,3602987,53600.9393955,56478,
14-Jun-2021,1486,1462.55,1479.45,4440982,65469.9819995,68213,
15-Jun-2021,1496,1474.8,1490.25,3784801,56397.5816045,63011,
16-Jun-2021,1494,1478.1,1484.6,3851049,57178.994443,48823,
17-Jun-2021,1478.75,1460,1466.1,4641901,68284.2222205,68296,
18-Jun-2021,1490,1455,1479.8,5969030,87778.323775,107469,
21-Jun-2021,1491.8,1459,1488.7,3630236,53561.085687,87544,
22-Jun-2021,1508,1480,1483.8,7183412,107465.4809535,130957,
23-Jun-2021,1497.8,1478.6,1485.5,3922434,58333.7882225,93786,
24-Jun-2021,1513.45,1488,1506.25,7392512,111053.974403,104655,
25-Jun-2021,1522,1507,1515.1,5191588,78663.531518,56972,
28-Jun-2021,1523,1505,1508.35,4678393,70663.374402,40345,
29-Jun-2021,1508.2,1492.15,1502.05,5485846,82190.416073,35968,
30-Jun-2021,1509,1494.1,1497.9,4839511,72642.9715995,37508,
01-Jul-2021,1502,1483,1486.75,8455721,126108.2491785,38788,
02-Jul-2021,1489.25,1477,1480.4,7413518,109919.260754,38370,
05-Jul-2021,1504.5,1484.55,1495.45,3686941,55216.839479,54446,
06-Jul-2021,1540,1496,1534.7,8834516,134908.1820725,124887,
07-Jul-2021,1545.35,1527.7,1539.5,4814595,74117.3051565,51642,
08-Jul-2021,1537.7,1513.45,1520.45,4210461,64266.3034565,57874,
09-Jul-2021,1516,1497.5,1502,5347921,80509.526578,55574,
12-Jul-2021,1502,1484,1487,7229489,107933.865059,63779,
13-Jul-2021,1506.1,1484.1,1501.85,9089071,135785.896872,77965,
14-Jul-2021,1507.35,1491.1,1499.15,4894247,73424.5915185,47142,
15-Jul-2021,1526.75,1499.65,1520.7,5219401,79233.0498385,81003,
16-Jul-2021,1529.95,1518.8,1522.35,2585314,39405.5273925,66135,
19-Jul-2021,1488.85,1466,1471,12555800,185527.790561,183230,
20-Jul-2021,1454,1436.15,1443.15,12087125,174460.423456,124398,
22-Jul-2021,1468.5,1445,1448.7,6603557,96134.9216175,103214,
23-Jul-2021,1457.45,1435.3,1442.75,6563342,94854.6585405,103889,
26-Jul-2021,1444,1428.1,1434.55,6583583,94469.652082,95175,
27-Jul-2021,1449.9,1436.1,1439.75,11200715,161675.233124,112562,
28-Jul-2021,1438.7,1404,1417.3,10335171,146408.2017595,117136,
29-Jul-2021,1429.95,1413.3,1418.25,6851115,97450.300089,117926,
30-Jul-2021,1431.75,1407.95,1426.45,5827744,82906.1985285,61160,
02-Aug-2021,1435,1416.25,1422.65,6629393,94527.4888315,46803,
03-Aug-2021,1439.9,1410,1434.7,6016560,85935.282588,74255,
04-Aug-2021,1474.5,1440,1465.3,11026974,161318.290928,161716,
05-Aug-2021,1507.05,1457.4,1484.85,9411204,139592.9515995,160622,
06-Aug-2021,1500,1474,1492.65,6669635,99407.7328665,88521,
09-Aug-2021,1507.35,1476,1503.9,5499024,82565.5464295,77560,
10-Aug-2021,1519.75,1489,1507.65,7419173,112206.855661,100017,
11-Aug-2021,1518.85,1491.05,1494.95,6292893,94485.740273,69570,
12-Aug-2021,1507.6,1489.3,1501.4,4298837,64425.6692455,47690,
13-Aug-2021,1531,1501,1526.2,8329214,126723.6367235,101844,
16-Aug-2021,1535,1521.45,1530.6,3126389,47832.4101345,64371,
17-Aug-2021,1524,1505.3,1514.65,4141333,62697.638902,70797,
18-Aug-2021,1565.35,1508.35,1513,11492966,176798.5968555,251258,
20-Aug-2021,1519.8,1486.05,1514.75,6575203,98988.140169,143808,
23-Aug-2021,1533.15,1508.65,1524.6,5421527,82472.9823075,128217,
24-Aug-2021,1564.5,1527.45,1558.85,9190657,142471.9759425,215169,
25-Aug-2021,1564.8,1548,1557.4,3863987,60147.9734815,112138,
26-Aug-2021,1571,1543.45,1554.8,5559501,86691.2359215,123561,
27-Aug-2021,1558.65,1545.25,1548.45,3191069,49494.591602,48030,
30-Aug-2021,1570,1551.6,1568.25,4524583,70729.247684,58107,
31-Aug-2021,1583.35,1562.2,1581.4,6031288,95069.850627,70870,
01-Sep-2021,1598,1574.5,1579.1,6211279,98552.7340565,85260,
02-Sep-2021,1592,1571.25,1589,4809262,76135.44239,44510,
03-Sep-2021,1598,1568.3,1576.05,5367667,84933.286409,75480,
06-Sep-2021,1580.95,1561.95,1565.7,3938448,61811.9113255,47404,
07-Sep-2021,1582,1555.2,1569.25,3622748,56870.3098225,64757,
08-Sep-2021,1580.5,1565.6,1576.4,3362040,52934.2581835,47811,
09-Sep-2021,1579.45,1561,1568.6,4125474,64680.2813775,39121,
13-Sep-2021,1584,1553.65,1555.55,4479582,69900.9495685,44739,
14-Sep-2021,1564.5,1546.6,1548.55,4879253,75738.8202365,49546,
15-Sep-2021,1554.8,1535,1546.8,7411499,114415.513235,88634,
16-Sep-2021,1564.3,1536.3,1559.95,5130275,79589.9635825,116534,
17-Sep-2021,1589,1559.2,1582.15,10249051,161548.111767,168969,
20-Sep-2021,1581.7,1558,1559.85,4390805,68894.374833,99026,
21-Sep-2021,1568.65,1528.95,1551.95,7387498,114102.029634,106161,
22-Sep-2021,1550.15,1530,1533.7,5291101,81323.327959,86021,
23-Sep-2021,1572,1542,1570,6832152,106667.87042,136784,
24-Sep-2021,1607.95,1575,1601.55,10403351,165728.9484245,275427,
